0,0
10468.728,0.67701
11470.968,0.67701
12473.208,1.39138
13340.304,1.39138
14342.544,2.10575
15344.784,2.82012
16211.88,3.53449
17090.28,4.24886
18216.36,4.96323
19083.456,5.67759
20085.696,6.39196
20828.952,7.8207
21955.032,9.31439
22833.432,10.02876
23700.528,10.74313
24826.608,12.17187
25817.616,12.17187
26695.944,13.60061
27698.184,14.31498
28565.28,15.74372
29567.52,17.2374
30445.92,17.95177
31313.016,19.38051
32191.344,20.80925
33182.352,22.95236
34060.68,23.66673
34927.776,25.87478
35806.176,26.58915
36932.256,27.30352
37799.352,29.44663
38801.592,31.58974
39679.992,33.01848
40670.928,34.51216
41549.328,35.9409
42292.512,36.65527
43294.752,38.79838
44038.008,40.94149
45164.088,42.37023
46166.328,43.14954
46909.584,44.57828
47911.824,46.00702
48790.152,47.43576
49781.16,48.8645
50535.648,51.78693
51402.744,52.5013
52404.984,54.64441
53531.064,56.78751
54274.32,60.42431
54769.824,63.99616
55400.4,67.56801
56019.816,74.06228
56267.568,77.69907
56526.552,82.69966
56774.304,88.47956
57269.736,94.19452
57145.896,94.19452
57145.896,99.26005
57145.896,105.03996
57269.736,110.75491
57393.648,115.82045
57517.488,121.60035
57641.4,133.09521
57900.384,138.16074
57900.384,143.16133
58024.296,150.36997
58148.136,154.65619
58148.136,159.72172
58148.136,165.50163
58271.976,171.21659
58271.976,176.99649
58519.728,182.77639
58519.728,187.06261
58519.728,193.55688
